Rank,Company,Revenue,Employees
1,Apple,265.60,132000
2,Amazon,232.89,1125300
3,Samsung,197.70,309630
4,Foxconn,175.62,667680
5,Alphabet,136.82,98771
6,Microsoft,110.36,131000
7,Huawei,109.03,188000
8,Dell,90.62,157000
9,Hitachi,85.51,295941
10,IBM,79.59,381100
11,Sony,78.16,114400
12,Panasonic,72.18,271869
13,Intel,70.85,107400
14,HP,58.47,55000
15,Facebook,55.84,35587
16,LG,55.76,72600
17,Lenovo,51.04,57000
18,Pegatron,44.21,177950
19,Accenture ,43.22,506000
20,TSMC,34.62,48752
